servicio,cod_empresa,empresa,centro_poblado,numero_pqrs,latitude,longitude
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,LA BOQUILLA,38,10.4718051181,-75.4981508977
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,ARACATACA,38,10.5897988592,-74.1867609537
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,MANAURE BALCON DEL CESAR,38,10.3907748357,-73.0294704117
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SANTA ROSA DEL SUR,37,7.96287055719,-74.0518401571
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,COVE?AS,37,9.4028636807,-75.6800839749
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,ARJONA,36,10.256630539,-75.3444876588
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,EL RETEN,36,10.6106681998,-74.2684546741
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SAN DIEGO,35,10.333031354,-73.1812177024
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SAMPUES,35,9.18312851604,-75.3802942192
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,JUAN DE ACOSTA,34,10.8323387608,-75.0406070886
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,GUAMAL,34,9.14438638111,-74.2236997384
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,PUEBLO NUEVO,26,8.50400390305,-75.5079697769
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,EL PASO,26,9.66847095606,-73.741788511
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,AYAPEL,26,8.31444592737,-75.1462884773
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,EL COPEY,26,10.1495254704,-73.9627178522
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SINCE,25,9.24419660827,-75.1460313941
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SAN ONOFRE,24,9.7369328609,-75.5230283613
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,EL DIFICIL,24,9.84705461368,-74.2364991914
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SALGAR,23,11.018185006,-74.933842725
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,PAILITAS,23,8.95939949775,-73.6257673178
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,TIERRALTA,22,8.17037997285,-76.0596965689
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,BONDA,22,11.2339222099,-74.1278660397
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,LA AGUADA,22,10.8623907494,-74.8457983184
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,MORROA,22,9.33132173665,-75.306200083
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,GALERAS,21,9.15967339965,-75.0494186572
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SANTIAGO DE TOLU,20,9.52547457425,-75.5811043366
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SUAN,20,10.3354309226,-74.8816874004
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,REPELON,20,10.4933403213,-75.1254822303
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,CHIRIGUANA,20,9.36118941734,-73.600147529
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,CALAMAR,20,10.2503611819,-74.9161222621
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,PUEBLO BELLO,19,10.4172860694,-73.5862472969
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SAN JUAN NEPOMUCENO,19,9.95345322129,-75.081354128
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,CHINU,17,9.10529229865,-75.3997215182
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,TUBARA,17,10.8736512946,-74.9786801062
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,MANZANILLO DEL MAR,17,10.5147865729,-75.4976242928
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,EL CARMEN DE BOLIVAR,16,9.71861199322,-75.1212066427
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,CIENAGA DE ORO,16,8.87550305273,-75.6207853009
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,HATONUEVO,16,11.0687421081,-72.7590172472
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SANTA VERONICA,16,10.8772473452,-75.084351773
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,LOS PALMITOS,15,9.3802289505,-75.268750942
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,BARRANCAS,15,10.9586657579,-72.7935757813
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SAN CARLOS,14,8.7991072141,-75.698841723
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,ALGARROBO,14,10.1880372898,-74.061131388
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,ALBANIA,14,11.1516112258,-72.6123282482
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SANTA ROSA DE LIMA,14,10.4443941775,-75.369832134
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,MANAURE,14,11.7739428149,-72.4395863069
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,PONEDERA,13,10.6417959018,-74.7539006043
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,CICUCO,13,9.27456085808,-74.645585537
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,MANATI,13,10.4489620358,-74.9570353895
